ID,Category,Img,Name,Obtained?,Research #,,,,,,,,,
2096,Lighting,,Steampunk Candelabra,No,1,,,,,,,,,
2097,Lighting,,Glass Candelabra,No,1,,,,,,,,,
2098,Lighting,,Rich Mahogany Candelabra,No,1,,,,,,,,,
2099,Lighting,,Pearlwood Candelabra,No,1,,,,,,,,,
2100,Lighting,,Frozen Candelabra,No,1,,,,,,,,,
2101,Lighting,,Lihzahrd Candelabra,No,1,,,,,,,,,
2102,Lighting,,Skyware Candelabra,No,1,,,,,,,,,
2103,Lighting,,Spooky Candelabra,No,1,,,,,,,,,
2104,Vanity,,Brain of Cthulhu Mask,No,1,,,,,,,,,
2105,Vanity,,Wall of Flesh Mask,No,1,,,,,,,,,
2106,Vanity,,Twin Mask,No,1,,,,,,,,,
2107,Vanity,,Skeletron Prime Mask,No,1,,,,,,,,,
2108,Vanity,,Queen Bee Mask,No,1,,,,,,,,,
2109,Vanity,,Plantera Mask,No,1,,,,,,,,,
2110,Vanity,,Golem Mask,No,1,,,,,,,,,
2111,Vanity,,Eater of Worlds Mask,No,1,,,,,,,,,
2112,Vanity,,Eye of Cthulhu Mask,No,1,,,,,,,,,
2113,Vanity,,Destroyer Mask,No,1,,,,,,,,,
2114,Furniture (Other),,Blacksmith Rack,No,1,,,,,,,,,
2115,Furniture (Other),,Carpentry Rack,No,1,,,,,,,,,
2116,Furniture (Other),,Helmet Rack,No,1,,,,,,,,,
2117,Furniture (Other),,Spear Rack,No,1,,,,,,,,,
2118,Furniture (Other),,Sword Rack,No,1,,,,,,,,,
2119,Blocks,,Stone Slab,No,100,,,,,,,,,
2120,Blocks,,Sandstone Slab,No,100,,,,,,,,,
2121,Critters,,Frog,No,5,,,,,,,,,
2122,Critters,,Mallard Duck,No,5,,,,,,,,,
2123,Critters,,Duck,No,5,,,,,,,,,
2124,Furniture (Sets),,Honey Bathtub,No,1,,,,,,,,,
2125,Furniture (Sets),,Steampunk Bathtub,No,1,,,,,,,,,
2126,Furniture (Sets),,Living Wood Bathtub,No,1,,,,,,,,,
2127,Furniture (Sets),,Shadewood Bathtub,No,1,,,,,,,,,
2128,Furniture (Sets),,Bone Bathtub,No,1,,,,,,,,,
2129,Lighting,,Honey Lamp,No,1,,,,,,,,,
2130,Lighting,,Steampunk Lamp,No,1,,,,,,,,,
2131,Lighting,,Living Wood Lamp,No,1,,,,,,,,,
2132,Lighting,,Shadewood Lamp,No,1,,,,,,,,,
2133,Lighting,,Golden Lamp,No,1,,,,,,,,,
2134,Lighting,,Bone Lamp,No,1,,,,,,,,,
2135,Furniture (Sets),,Living Wood Bookcase,No,1,,,,,,,,,
2136,Furniture (Sets),,Shadewood Bookcase,No,1,,,,,,,,,
2137,Furniture (Sets),,Golden Bookcase,No,1,,,,,,,,,
2138,Furniture (Sets),,Bone Bookcase,No,1,,,,,,,,,
2139,Furniture (Sets),,Living Wood Bed,No,1,,,,,,,,,
2140,Furniture (Sets),,Bone Bed,No,1,,,,,,,,,
2141,Lighting,,Living Wood Chandelier,No,1,,,,,,,,,
2142,Lighting,,Shadewood Chandelier,No,1,,,,,,,,,
2143,Lighting,,Golden Chandelier,No,1,,,,,,,,,
2144,Lighting,,Bone Chandelier,No,1,,,,,,,,,
2145,Lighting,,Living Wood Lantern,No,1,,,,,,,,,
2146,Lighting,,Shadewood Lantern,No,1,,,,,,,,,
2147,Lighting,,Golden Lantern,No,1,,,,,,,,,
2148,Lighting,,Bone Lantern,No,1,,,,,,,,,
2149,Lighting,,Living Wood Candelabra,No,1,,,,,,,,,
2150,Lighting,,Shadewood Candelabra,No,1,,,,,,,,,
2151,Lighting,,Golden Candelabra,No,1,,,,,,,,,
2152,Lighting,,Bone Candelabra,No,1,,,,,,,,,
2153,Lighting,,Living Wood Candle,No,1,,,,,,,,,
2154,Lighting,,Shadewood Candle,No,1,,,,,,,,,
2155,Lighting,,Golden Candle,No,1,,,,,,,,,
2156,Critters,,Black Scorpion,No,5,,,,,,,,,
2157,Critters,,Scorpion,No,5,,,,,,,,,
2158,Walls/Wallpaper,,Bubble Wallpaper,No,400,,,,,,,,,
2159,Walls/Wallpaper,,Copper Pipe Wallpaper,No,400,,,,,,,,,
2160,Walls/Wallpaper,,Ducky Wallpaper,No,400,,,,,,,,,
2161,Crafting,,Frost Core,No,3,,,,,,,,,
2162,Critters,,Bunny Cage,No,1,,,,,,,,,
2163,Critters,,Squirrel Cage,No,1,,,,,,,,,
2164,Critters,,Mallard Duck Cage,No,1,,,,,,,,,
2165,Critters,,Duck Cage,No,1,,,,,,,,,
2166,Critters,,Bird Cage,No,1,,,,,,,,,
2167,Critters,,Blue Jay Cage,No,1,,,,,,,,,
2168,Critters,,Cardinal Cage,No,1,,,,,,,,,
2169,Walls/Wallpaper,,Waterfall Wall,No,400,,,,,,,,,
2170,Walls/Wallpaper,,Lavafall Wall,No,400,,,,,,,,,
2171,Plants,,Crimson Seeds,No,25,,,,,,,,,
2172,Crafting Stations,,Heavy Assembler,No,1,,,,,,,,,
2173,Blocks,,Copper Plating,No,100,,,,,,,,,
2174,Critters,,Snail Cage,No,1,,,,,,,,,
2175,Critters,,Glowing Snail Cage,No,1,,,,,,,,,
2176,Tools,,Shroomite Digging Claw,No,1,,,,,,,,,
2177,Crafting Stations,,Ammo Box,No,1,,,,,,,,,
2178,Critters,,Monarch Butterfly Jar,No,1,,,,,,,,,
2179,Critters,,Purple Emperor Butterfly Jar,No,1,,,,,,,,,
2180,Critters,,Red Admiral Butterfly Jar,No,1,,,,,,,,,
2181,Critters,,Ulysses Butterfly Jar,No,1,,,,,,,,,
2182,Critters,,Sulphur Butterfly Jar,No,1,,,,,,,,,
2183,Critters,,Tree Nymph Butterfly Jar,No,1,,,,,,,,,
2184,Critters,,Zebra Swallowtail Butterfly Jar,No,1,,,,,,,,,
2185,Critters,,Julia Butterfly Jar,No,1,,,,,,,,,
2186,Critters,,Scorpion Cage,No,1,,,,,,,,,
2187,Critters,,Black Scorpion Cage,No,1,,,,,,,,,
2188,Weapons,,Venom Staff,No,1,,,,,,,,,
2189,Armor,,Spectre Mask,No,1,,,,,,,,,
2190,Critters,,Frog Cage,No,1,,,,,,,,,
2191,Critters,,Mouse Cage,No,1,,,,,,,,,
2192,Crafting Stations,,Bone Welder,No,1,,,,,,,,,
2193,Crafting Stations,,Flesh Cloning Vat,No,1,,,,,,,,,
2194,Crafting Stations,,Glass Kiln,No,1,,,,,,,,,
2195,Crafting Stations,,Lihzahrd Furnace,No,1,,,,,,,,,
2196,Crafting Stations,,Living Loom,No,1,,,,,,,,,
2197,Crafting Stations,,Sky Mill,No,1,,,,,,,,,
2198,Crafting Stations,,Ice Machine,No,1,,,,,,,,,
2199,Armor,,Beetle Helmet,No,1,,,,,,,,,
2200,Armor,,Beetle Scale Mail,No,1,,,,,,,,,
2201,Armor,,Beetle Shell,No,1,,,,,,,,,
2202,Armor,,Beetle Leggings,No,1,,,,,,,,,
2203,Crafting Stations,,Steampunk Boiler,No,1,,,,,,,,,
2204,Crafting Stations,,Honey Dispenser,No,1,,,,,,,,,
2205,Critters,,Penguin,No,5,,,,,,,,,
2206,Critters,,Penguin Cage,No,1,,,,,,,,,
2207,Critters,,Worm Cage,No,1,,,,,,,,,
2208,Crafting,,Terrarium,No,1,,,,,,,,,
2209,Potions,,Super Mana Potion,No,30,,,,,,,,,
2210,Platforms/Fencing,,Ebonwood Fence,No,400,,,,,,,,,
2211,Platforms/Fencing,,Rich Mahogany Fence,No,400,,,,,,,,,
2212,Platforms/Fencing,,Pearlwood Fence,No,400,,,,,,,,,
2213,Platforms/Fencing,,Shadewood Fence,No,400,,,,,,,,,
2214,Accessories,,Brick Layer,No,1,,,,,,,,,
2215,Accessories,,Extendo Grip,No,1,,,,,,,,,
2216,Accessories,,Paint Sprayer,No,1,,,,,,,,,
2217,Accessories,,Portable Cement Mixer,No,1,,,,,,,,,
2218,Crafting,,Beetle Husk,No,25,,,,,,,,,
2219,Accessories,,Celestial Magnet,No,1,,,,,,,,,
2220,Accessories,,Celestial Emblem,No,1,,,,,,,,,
2221,Accessories,,Celestial Cuffs,No,1,,,,,,,,,
2222,Vanity,,Peddler's Hat,No,1,,,,,,,,,
2223,Weapons,,Pulse Bow,No,1,,,,,,,,,
2224,Lighting,,Large Dynasty Lantern,No,1,,,,,,,,,
2225,Lighting,,Dynasty Lamp,No,1,,,,,,,,,
2226,Lighting,,Dynasty Lantern,No,1,,,,,,,,,
2227,Lighting,,Large Dynasty Candle,No,1,,,,,,,,,
2228,Furniture (Sets),,Dynasty Chair,No,1,,,,,,,,,
2229,Furniture (Sets),,Dynasty Work Bench,No,1,,,,,,,,,
2230,Chests/Crates,,Dynasty Chest,No,1,,,,,,,,,
2231,Furniture (Sets),,Dynasty Bed,No,1,,,,,,,,,
2232,Furniture (Sets),,Dynasty Bathtub,No,1,,,,,,,,,
2233,Furniture (Sets),,Dynasty Bookcase,No,1,,,,,,,,,
2234,Furniture (Other),,Dynasty Cup,No,1,,,,,,,,,
2235,Furniture (Other),,Dynasty Bowl,No,1,,,,,,,,,
2236,Lighting,,Dynasty Candle,No,1,,,,,,,,,
2237,Furniture (Sets),,Dynasty Clock,No,1,,,,,,,,,
2238,Furniture (Sets),,Golden Clock,No,1,,,,,,,,,
2239,Furniture (Sets),,Glass Clock,No,1,,,,,,,,,
2240,Furniture (Sets),,Honey Clock,No,1,,,,,,,,,
2241,Furniture (Sets),,Steampunk Clock,No,1,,,,,,,,,
2242,Furniture (Other),,Fancy Dishes,No,1,,,,,,,,,
2243,Furniture (Other),,Glass Bowl,No,1,,,,,,,,,
2244,Furniture (Other),,Wine Glass,No,1,,,,,,,,,
2245,Furniture (Sets),,Living Wood Piano,No,1,,,,,,,,,
2246,Furniture (Sets),,Flesh Piano,No,1,,,,,,,,,
2247,Furniture (Sets),,Frozen Piano,No,1,,,,,,,,,
2248,Furniture (Sets),,Frozen Table,No,1,,,,,,,,,
2249,Chests/Crates,,Honey Chest,No,1,,,,,,,,,
2250,Chests/Crates,,Steampunk Chest,No,1,,,,,,,,,
2251,Furniture (Sets),,Honey Work Bench,No,1,,,,,,,,,
2252,Furniture (Sets),,Frozen Work Bench,No,1,,,,,,,,,
2253,Furniture (Sets),,Steampunk Work Bench,No,1,,,,,,,,,
2254,Furniture (Sets),,Glass Piano,No,1,,,,,,,,,
2255,Furniture (Sets),,Honey Piano,No,1,,,,,,,,,
2256,Furniture (Sets),,Steampunk Piano,No,1,,,,,,,,,
2257,Furniture (Other),,Honey Cup,No,1,,,,,,,,,
2258,Furniture (Other),,Chalice,No,1,,,,,,,,,
2259,Furniture (Sets),,Dynasty Table,No,1,,,,,,,,,
2260,Blocks,,Dynasty Wood,No,100,,,,,,,,,
2261,Blocks,,Red Dynasty Shingles,No,100,,,,,,,,,
2262,Blocks,,Blue Dynasty Shingles,No,100,,,,,,,,,
2263,Walls/Wallpaper,,White Dynasty Wall,No,400,,,,,,,,,
2264,Walls/Wallpaper,,Blue Dynasty Wall,No,400,,,,,,,,,
2265,Furniture (Sets),,Dynasty Door,No,1,,,,,,,,,
2266,Food,,Sake,No,20,,,,,,,,,
2267,Food,,Pad Thai,No,10,,,,,,,,,
2268,Food,,Pho,No,10,,,,,,,,,
2269,Weapons,,Revolver,No,1,,,,,,,,,
2270,Weapons,,Gatligator,No,1,,,,,,,,,
2271,Walls/Wallpaper,,Arcane Rune Wall,No,400,,,,,,,,,
2272,Tools,,Water Gun,No,1,,,,,,,,,
2273,Weapons,,Katana,No,1,,,,,,,,,
2274,Lighting,,Ultrabright Torch,No,100,,,,,,,,,
2275,Armor,,Magic Hat,No,1,,,,,,,,,
2276,Vanity Accessories,,Diamond Ring,No,1,,,,,,,,,
2277,Armor,,Gi,No,1,,,,,,,,,
2278,Vanity,,Kimono,No,1,,,,,,,,,
2279,Armor,,Mystic Robe,No,1,,,,,,,,,
2280,Wings,,Beetle Wings,No,1,,,,,,,,,
2281,Furniture (Other),,Tiger Skin,No,1,,,,,,,,,
2282,Furniture (Other),,Leopard Skin,No,1,,,,,,,,,
2283,Furniture (Other),,Zebra Skin,No,1,,,,,,,,,
2284,Vanity Accessories,,Crimson Cloak,No,1,,,,,,,,,
2285,Vanity Accessories,,Mysterious Cape,No,1,,,,,,,,,
2286,Vanity Accessories,,Red Cape,No,1,,,,,,,,,
2287,Vanity Accessories,,Winter Cape,No,1,,,,,,,,,
2288,Furniture (Sets),,Frozen Chair,No,1,,,,,,,,,
2289,Tools,,Wood Fishing Pole,No,1,,,,,,,,,
2290,Fish,,Bass,No,3,,,,,,,,,
2291,Tools,,Reinforced Fishing Pole,No,1,,,,,,,,,
2292,Tools,,Fiberglass Fishing Pole,No,1,,,,,,,,,
2293,Tools,,Fisher of Souls,No,1,,,,,,,,,
2294,Tools,,Golden Fishing Rod,No,1,,,,,,,,,
2295,Tools,,Mechanic's Rod,No,1,,,,,,,,,
2296,Tools,,Sitting Duck's Fishing Pole,No,1,,,,,,,,,
2297,Fish,,Trout,No,3,,,,,,,,,
2298,Fish,,Salmon,No,3,,,,,,,,,
2299,Fish,,Atlantic Cod,No,3,,,,,,,,,
2300,Fish,,Tuna,No,3,,,,,,,,,
2301,Fish,,Red Snapper,No,3,,,,,,,,,
2302,Fish,,Neon Tetra,No,3,,,,,,,,,
2303,Fish,,Armored Cavefish,No,3,,,,,,,,,
2304,Fish,,Damselfish,No,3,,,,,,,,,
2305,Fish,,Crimson Tigerfish,No,3,,,,,,,,,
2306,Fish,,Frost Minnow,No,3,,,,,,,,,
2307,Fish,,Princess Fish,No,3,,,,,,,,,
2308,Fish,,Golden Carp,No,3,,,,,,,,,
2309,Fish,,Specular Fish,No,3,,,,,,,,,
2310,Fish,,Prismite,No,3,,,,,,,,,
2311,Fish,,Variegated Lardfish,No,3,,,,,,,,,
2312,Fish,,Flarefin Koi,No,3,,,,,,,,,
2313,Fish,,Double Cod,No,3,,,,,,,,,
2314,Food,,Honeyfin,No,30,,,,,,,,,
2315,Fish,,Obsidifish,No,3,,,,,,,,,
2316,Fish,,Shrimp,No,3,,,,,,,,,
2317,Fish,,Chaos Fish,No,3,,,,,,,,,
2318,Fish,,Ebonkoi,No,3,,,,,,,,,
2319,Fish,,Hemopiranha,No,3,,,,,,,,,
2320,Tools,,Rockfish,No,1,,,,,,,,,
2321,Fish,,Stinkfish,No,3,,,,,,,,,
2322,Potions,,Mining Potion,No,20,,,,,,,,,
2323,Potions,,Heartreach Potion,No,20,,,,,,,,,
2324,Potions,,Calming Potion,No,20,,,,,,,,,
2325,Potions,,Builder Potion,No,20,,,,,,,,,
2326,Potions,,Titan Potion,No,20,,,,,,,,,
2327,Potions,,Flipper Potion,No,20,,,,,,,,,
2328,Potions,,Summoning Potion,No,20,,,,,,,,,
2329,Potions,,Dangersense Potion,No,20,,,,,,,,,
2330,Weapons,,Purple Clubberfish,No,1,,,,,,,,,
2331,Weapons,,Obsidian Swordfish,No,1,,,,,,,,,
2332,Weapons,,Swordfish,No,1,,,,,,,,,
2333,Platforms/Fencing,,Iron Fence,No,400,,,,,,,,,
2334,Chests/Crates,,Wooden Crate,No,10,,,,,,,,,
2335,Chests/Crates,,Iron Crate,No,10,,,,,,,,,
2336,Chests/Crates,,Golden Crate,No,10,,,,,,,,,
2337,Fish,,Old Shoe,No,1,,,,,,,,,
2338,Fish,,Seaweed,No,1,,,,,,,,,
2339,Fish,,Tin Can,No,1,,,,,,,,,
2340,Mechanisms,,Minecart Track,No,100,,,,,,,,,
2341,Tools,,Reaver Shark,No,1,,,,,,,,,
2342,Tools,,Sawtooth Shark,No,1,,,,,,,,,
2343,Minecarts,,Minecart,No,1,,,,,,,,,
2344,Potions,,Ammo Reservation Potion,No,20,,,,,,,,,
2345,Potions,,Lifeforce Potion,No,20,,,,,,,,,
2346,Potions,,Endurance Potion,No,20,,,,,,,,,
2347,Potions,,Rage Potion,No,20,,,,,,,,,
2348,Potions,,Inferno Potion,No,20,,,,,,,,,
2349,Potions,,Wrath Potion,No,20,,,,,,,,,
2350,Potions,,Recall Potion,No,20,,,,,,,,,
2351,Potions,,Teleportation Potion,No,20,,,,,,,,,
2352,Potions,,Love Potion,No,20,,,,,,,,,
2353,Potions,,Stink Potion,No,20,,,,,,,,,
2354,Potions,,Fishing Potion,No,20,,,,,,,,,
2355,Potions,,Sonar Potion,No,20,,,,,,,,,
2356,Potions,,Crate Potion,No,20,,,,,,,,,
2357,Plants,,Shiverthorn Seeds,No,25,,,,,,,,,
2358,Plants,,Shiverthorn,No,25,,,,,,,,,
2359,Potions,,Warmth Potion,No,20,,,,,,,,,
2360,Tools,,Fish Hook,No,1,,,,,,,,,
2361,Armor,,Bee Headgear,No,1,,,,,,,,,
2362,Armor,,Bee Breastplate,No,1,,,,,,,,,
2363,Armor,,Bee Greaves,No,1,,,,,,,,,
2364,Weapons,,Hornet Staff,No,1,,,,,,,,,
2365,Weapons,,Imp Staff,No,1,,,,,,,,,
2366,Weapons,,Queen Spider Staff,No,1,,,,,,,,,
2367,Armor,,Angler Hat,No,1,,,,,,,,,
2368,Armor,,Angler Vest,No,1,,,,,,,,,
2369,Armor,,Angler Pants,No,1,,,,,,,,,
2370,Armor,,Spider Mask,No,1,,,,,,,,,
2371,Armor,,Spider Breastplate,No,1,,,,,,,,,
2372,Armor,,Spider Greaves,No,1,,,,,,,,,
2373,Accessories,,High Test Fishing Line,No,1,,,,,,,,,
2374,Accessories,,Angler Earring,No,1,,,,,,,,,
2375,Accessories,,Tackle Box,No,1,,,,,,,,,
2376,Furniture (Sets),,Blue Dungeon Piano,No,1,,,,,,,,,
2377,Furniture (Sets),,Green Dungeon Piano,No,1,,,,,,,,,
2378,Furniture (Sets),,Pink Dungeon Piano,No,1,,,,,,,,,
2379,Furniture (Sets),,Golden Piano,No,1,,,,,,,,,
2380,Furniture (Sets),,Obsidian Piano,No,1,,,,,,,,,
2381,Furniture (Sets),,Bone Piano,No,1,,,,,,,,,
2382,Furniture (Sets),,Cactus Piano,No,1,,,,,,,,,
2383,Furniture (Sets),,Spooky Piano,No,1,,,,,,,,,
2384,Furniture (Sets),,Skyware Piano,No,1,,,,,,,,,
2385,Furniture (Sets),,Lihzahrd Piano,No,1,,,,,,,,,
2386,Furniture (Sets),,Blue Dungeon Dresser,No,1,,,,,,,,,
2387,Furniture (Sets),,Green Dungeon Dresser,No,1,,,,,,,,,
2388,Furniture (Sets),,Pink Dungeon Dresser,No,1,,,,,,,,,
2389,Furniture (Sets),,Golden Dresser,No,1,,,,,,,,,
2390,Furniture (Sets),,Obsidian Dresser,No,1,,,,,,,,,
2391,Furniture (Sets),,Bone Dresser,No,1,,,,,,,,,
2392,Furniture (Sets),,Cactus Dresser,No,1,,,,,,,,,
2393,Furniture (Sets),,Spooky Dresser,No,1,,,,,,,,,
2394,Furniture (Sets),,Skyware Dresser,No,1,,,,,,,,,
2395,Furniture (Sets),,Honey Dresser,No,1,,,,,,,,,
2396,Furniture (Sets),,Lihzahrd Dresser,No,1,,,,,,,,,
2397,Furniture (Sets),,Sofa,No,1,,,,,,,,,
2398,Furniture (Sets),,Ebonwood Sofa,No,1,,,,,,,,,
2399,Furniture (Sets),,Rich Mahogany Sofa,No,1,,,,,,,,,
2400,Furniture (Sets),,Pearlwood Sofa,No,1,,,,,,,,,
2401,Furniture (Sets),,Shadewood Sofa,No,1,,,,,,,,,
2402,Furniture (Sets),,Blue Dungeon Sofa,No,1,,,,,,,,,
2403,Furniture (Sets),,Green Dungeon Sofa,No,1,,,,,,,,,
2404,Furniture (Sets),,Pink Dungeon Sofa,No,1,,,,,,,,,
2405,Furniture (Sets),,Golden Sofa,No,1,,,,,,,,,
2406,Furniture (Sets),,Obsidian Sofa,No,1,,,,,,,,,
2407,Furniture (Sets),,Bone Sofa,No,1,,,,,,,,,
2408,Furniture (Sets),,Cactus Sofa,No,1,,,,,,,,,
2409,Furniture (Sets),,Spooky Sofa,No,1,,,,,,,,,
2410,Furniture (Sets),,Skyware Sofa,No,1,,,,,,,,,
2411,Furniture (Sets),,Honey Sofa,No,1,,,,,,,,,
2412,Furniture (Sets),,Steampunk Sofa,No,1,,,,,,,,,
2413,Furniture (Sets),,Mushroom Sofa,No,1,,,,,,,,,
2414,Furniture (Sets),,Glass Sofa,No,1,,,,,,,,,
2415,Furniture (Sets),,Pumpkin Sofa,No,1,,,,,,,,,
2416,Furniture (Sets),,Lihzahrd Sofa,No,1,,,,,,,,,
2417,Vanity,,Seashell Hairpin,No,1,,,,,,,,,
2418,Vanity,,Mermaid Adornment,No,1,,,,,,,,,
2419,Vanity,,Mermaid Tail,No,1,,,,,,,,,
2420,Pets/Mounts,,Zephyr Fish,No,1,,,,,,,,,
2421,Tools,,Fleshcatcher,No,1,,,,,,,,,
2422,Tools,,Hotline Fishing Hook,No,1,,,,,,,,,
2423,Accessories,,Frog Leg,No,1,,,,,,,,,
2424,Weapons,,Anchor,No,1,,,,,,,,,
2425,Food,,Cooked Fish,No,10,,,,,,,,,
2426,Food,,Cooked Shrimp,No,10,,,,,,,,,
2427,Food,,Sashimi,No,10,,,,,,,,,
2428,Pets/Mounts,,Fuzzy Carrot,No,1,,,,,,,,,
2429,Pets/Mounts,,Scaly Truffle,No,1,,,,,,,,,
2430,Pets/Mounts,,Slimy Saddle,No,1,,,,,,,,,
2431,Crafting,,Bee Wax,No,25,,,,,,,,,
2432,Walls/Wallpaper,,Copper Plating Wall,No,400,,,,,,,,,
2433,Walls/Wallpaper,,Stone Slab Wall,No,400,,,,,,,,,
2434,Walls/Wallpaper,,Sail,No,400,,,,,,,,,
2435,Blocks,,Coralstone Block,No,100,,,,,,,,,
2436,Critters,,Blue Jellyfish,No,3,,,,,,,,,
2437,Critters,,Green Jellyfish,No,3,,,,,,,,,
2438,Critters,,Pink Jellyfish,No,3,,,,,,,,,
2439,Critters,,Blue Jellyfish Jar,No,1,,,,,,,,,
2440,Critters,,Green Jellyfish Jar,No,1,,,,,,,,,
2441,Critters,,Pink Jellyfish Jar,No,1,,,,,,,,,
2442,Furniture (Other),,Life Preserver,No,1,,,,,,,,,
2443,Furniture (Other),,Ship's Wheel,No,1,,,,,,,,,
2444,Trophies,,Compass Rose,No,1,,,,,,,,,
2445,Furniture (Other),,Wall Anchor,No,1,,,,,,,,,
2446,Trophies,,Goldfish Trophy,No,1,,,,,,,,,
2447,Trophies,,Bunnyfish Trophy,No,1,,,,,,,,,
2448,Trophies,,Swordfish Trophy,No,1,,,,,,,,,
2449,Trophies,,Sharkteeth Trophy,No,1,,,,,,,,,
2450,Fish,,Batfish,No,2,,,,,,,,,
2451,Fish,,Bumblebee Tuna,No,2,,,,,,,,,
2452,Fish,,Catfish,No,2,,,,,,,,,
2453,Fish,,Cloudfish,No,2,,,,,,,,,
2454,Fish,,Cursedfish,No,2,,,,,,,,,
2455,Fish,,Dirtfish,No,2,,,,,,,,,
2456,Fish,,Dynamite Fish,No,2,,,,,,,,,
2457,Fish,,Eater of Plankton,No,2,,,,,,,,,
2458,Fish,,Fallen Starfish,No,2,,,,,,,,,
2459,Fish,,The Fish of Cthulhu,No,2,,,,,,,,,
2460,Fish,,Fishotron,No,2,,,,,,,,,
2461,Fish,,Harpyfish,No,2,,,,,,,,,
2462,Fish,,Hungerfish,No,2,,,,,,,,,
2463,Fish,,Ichorfish,No,2,,,,,,,,,
2464,Fish,,Jewelfish,No,2,,,,,,,,,
2465,Fish,,Mirage Fish,No,2,,,,,,,,,
2466,Fish,,Mutant Flinxfin,No,2,,,,,,,,,
2467,Fish,,Pengfish,No,2,,,,,,,,,
2468,Fish,,Pixiefish,No,2,,,,,,,,,
2469,Fish,,Spiderfish,No,2,,,,,,,,,
2470,Fish,,Tundra Trout,No,2,,,,,,,,,
2471,Fish,,Unicorn Fish,No,2,,,,,,,,,
2472,Fish,,Guide Voodoo Fish,No,2,,,,,,,,,
2473,Fish,,Wyverntail,No,2,,,,,,,,,
2474,Fish,,Zombie Fish,No,2,,,,,,,,,
2475,Fish,,Amanita Fungifin,No,2,,,,,,,,,
2476,Fish,,Angelfish,No,2,,,,,,,,,
2477,Fish,,Bloody Manowar,No,2,,,,,,,,,
2478,Fish,,Bonefish,No,2,,,,,,,,,
2479,Fish,,Bunnyfish,No,2,,,,,,,,,
2480,Fish,,Cap'n Tunabeard,No,2,,,,,,,,,
2481,Fish,,Clownfish,No,2,,,,,,,,,
2482,Fish,,Demonic Hellfish,No,2,,,,,,,,,
2483,Fish,,Derpfish,No,2,,,,,,,,,
2484,Fish,,Fishron,No,2,,,,,,,,,
2485,Fish,,Infected Scabbardfish,No,2,,,,,,,,,
2486,Fish,,Mudfish,No,2,,,,,,,,,
2487,Fish,,Slimefish,No,2,,,,,,,,,
2488,Fish,,Tropical Barracuda,No,2,,,,,,,,,
2489,Trophies,,King Slime Trophy,No,1,,,,,,,,,
2490,Furniture (Other),,Ship in a Bottle,No,1,,,,,,,,,
2491,Pets/Mounts,,Hardy Saddle,No,1,,,,,,,,,
2492,Mechanisms,,Pressure Plate Track,No,5,,,,,,,,,
2493,Vanity,,King Slime Mask,No,1,,,,,,,,,
2494,Wings,,Fin Wings,No,1,,,,,,,,,
2495,Paintings,,Treasure Map,No,1,,,,,,,,,
2496,Plants,,Seaweed Planter,No,1,,,,,,,,,
2497,Paintings,,Pillagin' Me Pixels,No,1,,,,,,,,,
2498,Vanity,,Fish Costume Mask,No,1,,,,,,,,,
2499,Vanity,,Fish Costume Shirt,No,1,,,,,,,,,
2500,Vanity,,Fish Costume Finskirt,No,1,,,,,,,,,
2501,Vanity Accessories,,Ginger Beard,No,1,,,,,,,,,
2502,Pets/Mounts,,Honeyed Goggles,No,1,,,,,,,,,
2503,Blocks,,Boreal Wood,No,100,,,,,,,,,
2504,Blocks,,Palm Wood,No,100,,,,,,,,,
2505,Walls/Wallpaper,,Boreal Wood Wall,No,400,,,,,,,,,
2506,Walls/Wallpaper,,Palm Wood Wall,No,400,,,,,,,,,
2507,Platforms/Fencing,,Boreal Wood Fence,No,400,,,,,,,,,
2508,Platforms/Fencing,,Palm Wood Fence,No,400,,,,,,,,,
2509,Armor,,Boreal Wood Helmet,No,1,,,,,,,,,
2510,Armor,,Boreal Wood Breastplate,No,1,,,,,,,,,
2511,Armor,,Boreal Wood Greaves,No,1,,,,,,,,,
2512,Armor,,Palm Wood Helmet,No,1,,,,,,,,,
2513,Armor,,Palm Wood Breastplate,No,1,,,,,,,,,
2514,Armor,,Palm Wood Greaves,No,1,,,,,,,,,
2515,Weapons,,Palm Wood Bow,No,1,,,,,,,,,
2516,Tools,,Palm Wood Hammer,No,1,,,,,,,,,
2517,Weapons,,Palm Wood Sword,No,1,,,,,,,,,
2518,Platforms/Fencing,,Palm Wood Platform,No,200,,,,,,,,,
2519,Furniture (Sets),,Palm Wood Bathtub,No,1,,,,,,,,,
2520,Furniture (Sets),,Palm Wood Bed,No,1,,,,,,,,,
2521,Furniture (Sets),,Palm Wood Bench,No,1,,,,,,,,,
2522,Lighting,,Palm Wood Candelabra,No,1,,,,,,,,,
2523,Lighting,,Palm Wood Candle,No,1,,,,,,,,,
2524,Furniture (Sets),,Palm Wood Chair,No,1,,,,,,,,,
2525,Lighting,,Palm Wood Chandelier,No,1,,,,,,,,,
2526,Chests/Crates,,Palm Wood Chest,No,1,,,,,,,,,
2527,Furniture (Sets),,Palm Wood Sofa,No,1,,,,,,,,,
2528,Furniture (Sets),,Palm Wood Door,No,1,,,,,,,,,
2529,Furniture (Sets),,Palm Wood Dresser,No,1,,,,,,,,,
2530,Lighting,,Palm Wood Lantern,No,1,,,,,,,,,
2531,Furniture (Sets),,Palm Wood Piano,No,1,,,,,,,,,
2532,Furniture (Sets),,Palm Wood Table,No,1,,,,,,,,,
